added_at,artist,name,id,meta
,,,,"{""id"": ""37i9dQZEVXcHWzbLajW4vs"", ""name"": ""Discover Weekly""}"
2024-02-18T22:00:00Z,Ghostwriter,Induction,0ctSjciJyAVKfTDJXgYfX6,
2024-02-18T22:00:00Z,Jack Maloney,INTHEMIX,7BYMVfMFnzi3SwPp3f6aQW,
2024-02-18T22:00:00Z,Xaron,TUCA HYPERFUNK,1kqL9kCGnzTi49B5en3NYu,
2024-02-18T22:00:00Z,DJ EL FUNK TESTOSTERONA,MONTAGEM NOSTALGIA DEPRESSIVO,54oPtlt3iMLwo3oO7zoB9j,
2024-02-18T22:00:00Z,Star Monster,Dimensions,7ICpvkSUVZXgX6N40hq6kV,
2024-02-18T22:00:00Z,BILLYTHEKID,NOBODY STOPPIN ME,2HrXoAIgsGjj0pAepbkQM6,
2024-02-18T22:00:00Z,AKN,How Will I Know,5zRJAOEqm5XWg3QLKhCdE5,
2024-02-18T22:00:00Z,Deekline,Bam Bam - Euphonique & Dazee Remix,78zLNhO6SnvpZ4454UVjnD,
2024-02-18T22:00:00Z,Kaivon,Life,2WCl1euC7A6bJM6ZbTsEff,
2024-02-18T22:00:00Z,PXNEMA,NIGHTCLUB,5Z97JkRPtHdbk920uIfqQ8,
2024-02-18T22:00:00Z,LZee,WORRIES,5cYnt2SEJO5t20ZRqtirz3,
2024-02-18T22:00:00Z,MIRAJ,speedtail,3eFJFmsDQEJyiwBJ9YwOoK,
2024-02-18T22:00:00Z,CHMCL SØUP,TOP G - Slowed,1wDViymw7tXYEuZz71LNhj,
2024-02-18T22:00:00Z,Ahee,Rainbow Funk,4VwXCvFS1ogjSWKgClcHwa,
2024-02-18T22:00:00Z,SLVG,EVERYTHING'S CONNECTED,3NjQpq5BotwGfNxrG8teEg,
2024-02-18T22:00:00Z,efan,No Contest,0rShTXQRTIFMzrJbRmlTAd,
2024-02-18T22:00:00Z,LXRDCRAZE,chipi chipi chapa chapa dubi dubi daba daba Phonk,5KfIBYVVZ4NtdKQbpjZ0Dr,
2024-02-18T22:00:00Z,Mport,Day Tripper,3OVBZgyTiLCxoFT8ZArDHk,
2024-02-18T22:00:00Z,Lucarini,CRIANÇA DA ESCURIDÃO,6QBLYNrfEPspwzxRN5ltwg,
2024-02-18T22:00:00Z,Camo & Krooked,Falling,0ySW1vdmqRwA95VvQOc0GC,
2024-02-18T22:00:00Z,Tineidae,Descent,0YYhEUuyEImobLx3uGA1ap,
2024-02-18T22:00:00Z,ramoEx,Back It Up,3Jq7E8Xz2t9v8IjB4AdCtl,
2024-02-18T22:00:00Z,Heyz,The Riddim (Not Riddim),5Rp2JN3iG0XtcaTU4jiG49,
2024-02-18T22:00:00Z,DJ Bruno Fernando,Tá Pesadão,35o0Q5imUceL0txv0anMQM,
2024-02-18T22:00:00Z,Blankface,Carcass Pit,1rBJVSVEh1WsQj6io8uasE,
2024-02-18T22:00:00Z,Evxrenty,Lovely,6gaN5fzYMwB0u34kgVRm7l,
2024-02-18T22:00:00Z,James Hiraeth,Radio - Remix,68kvypOTqfhvq4Se0HUIjN,
2024-02-18T22:00:00Z,FETISH,In The Rave,7gI3EoW19jY7q2pvmcvdG2,
2024-02-18T22:00:00Z,enjoii,onlinemet.you,5X9UdIXihI9LplvVxPFnHR,
2024-02-18T22:00:00Z,Ed Rush,Maasai Funk,2rMF5shvYr3x8AVsVXV8X6,
